lookback_months,holdings,rebalance,cost_bps,sharpe,cagr,ann_volatility,max_drawdown,calmar,sortino,ann_turnover,avg_exposure,n_periods
3,3,quarterly,20,0.3798191834733049,0.052475177868669176,0.17513770681527505,-0.4926082559155782,0.10652516931762959,0.5306288446888365,5.459379615952733,1.0,2708
3,4,weekly,0,0.5324772553505471,0.07556926425172694,0.1612721326758823,-0.41907892344004793,0.18032227350258914,0.7491781459825327,19.91432791728213,1.0,2708
3,4,weekly,5,0.4706732335108527,0.06491123032437218,0.16129359650826958,-0.42374497324384786,0.15318466158421762,0.6605266555747188,19.91432791728213,1.0,2708
3,4,weekly,10,0.40883609222956013,0.05435506673869628,0.16133461773102206,-0.4283749258257451,0.1268866674068755,0.5722806541496627,19.91432791728213,1.0,2708
3,4,weekly,20,0.2851525684761774,0.03354460513850532,0.16147526562106201,-0.4375276120078996,0.07666854437954804,0.3971042436512342,19.91432791728213,1.0,2708
3,4,monthly,0,0.5592184783583944,0.08083341587812543,0.16264679606975793,-0.3973422124292635,0.20343525895204434,0.8024888131749708,9.119645494830134,1.0,2708
3,4,monthly,5,0.5312630740231594,0.0759214994845987,0.16262239045964036,-0.39855146891676496,0.1904935884214604,0.7612842206743057,9.119645494830134,1.0,2708
3,4,monthly,10,0.503258997248368,0.07102955609947381,0.1626109990295526,-0.39975882847938615,0.17768101925267799,0.7201352985574889,9.119645494830134,1.0,2708
3,4,monthly,20,0.4471316795298928,0.061305300778174754,0.1626272665242375,-0.4021678655188273,0.1524370941449691,0.6380263766652872,9.119645494830134,1.0,2708
3,4,quarterly,0,0.46490829668652406,0.06640518073360835,0.16913148305437078,-0.4591326991557536,0.14463178261037213,0.6517714355514783,4.513293943870015,1.0,2708
3,4,quarterly,5,0.45165242771582204,0.06400776085131299,0.16909901960937193,-0.45980958717404274,0.1392049288156434,0.6328432836666933,4.513293943870015,1.0,2708
3,4,quarterly,10,0.4383681486696364,0.06161410507092557,0.1690755498179673,-0.46048606730092345,0.133802322037816,0.6139099044625963,4.513293943870015,1.0,2708
3,4,quarterly,20,0.41172276968122634,0.05683807134701824,0.16905560474351145,-0.46183780388045326,0.12306933488218902,0.5760336450995625,4.513293943870015,1.0,2708
6,1,weekly,0,0.4830760156557286,0.03805880548150786,0.08476082612792836,-0.1424177768291539,0.2672335317181904,0.6923278614246802,11.092466765140328,0.3999999999999999,2708
6,1,weekly,5,0.4178463663525641,0.03232171260835881,0.08471938884142032,-0.14411949647025746,0.2242702299131969,0.5971432175259968,11.092466765140328,0.3999999999999999,2708
6,1,weekly,10,0.3524498907079995,0.026614052103159924,0.08470269445809109,-0.14581851382732725,0.1825149043466132,0.5022569273760797,11.092466765140328,0.3999999999999999,2708
6,1,weekly,20,0.22138539088209927,0.01528647155045304,0.0847435712200101,-0.18705380565606533,0.08172232314032776,0.3136672904955511,11.092466765140328,0.3999999999999999,2708
6,1,monthly,0,0.34759998523368196,0.02598362819353528,0.08393564456015987,-0.2463957019002624,0.10545487601099916,0.48912133973560484,5.062333825701626,0.3999999999999999,2708
6,1,monthly,5,0.317433034216746,0.023389911866260604,0.08393852883832813,-0.24669889141997847,0.09481158075591747,0.4459523488436339,5.062333825701626,0.3999999999999999,2708
6,1,monthly,10,0.28722790903771545,0.020801718494245725,0.08395317524949567,-0.24700208093969345,0.08421677426808621,0.40286876819755996,5.062333825701626,0.3999999999999999,2708
6,1,monthly,20,0.22675407094334857,0.015641862401518658,0.08401772492564256,-0.24760845997912717,0.06317176078247581,0.3170151719093326,5.062333825701626,0.3999999999999999,2708
6,1,quarterly,0,0.17762140669620968,0.011992495404548276,0.08987782431199844,-0.2912199469996124,0.041180199117899836,0.2451273189816074,2.3822747415066474,0.3999999999999999,2708
6,1,quarterly,5,0.16435355590045606,0.010787075319511175,0.08988602731106256,-0.2917913792087331,0.03696845105144328,0.2266691013434893,2.3822747415066474,0.3999999999999999,2708
6,1,quarterly,10,0.15107932240320382,0.009582609249853213,0.08989946888520928,-0.2923625809761695,0.03277645592626059,0.2082274957855903,2.3822747415066474,0.3999999999999999,2708
6,1,quarterly,20,0.12452101296951798,0.007176537662925586,0.08994205744873186,-0.29350429318599536,0.024451218702882048,0.1714039652245237,2.3822747415066474,0.3999999999999999,2708
6,2,weekly,0,0.5515458429061927,0.06997670343551432,0.14057736460331935,-0.2982118727028734,0.23465431741960308,0.7774382933027204,15.484785819793206,0.7999999999999998,2708
6,2,weekly,5,0.4963411709800451,0.06172078484405663,0.14061390072873536,-0.3010412718852692,0.20502432924738384,0.6980239371228742,15.484785819793206,0.7999999999999998,2708
6,2,weekly,10,0.4410967918227766,0.053525082310756034,0.1406722433356671,-0.3038604007482474,0.17615023931697607,0.6189168214836005,15.484785819793206,0.7999999999999998,2708
6,2,weekly,20,0.330592056672568,0.03731267245783232,0.14085422947775988,-0.3094679800213238,0.12057038164420532,0.46174882274655893,15.484785819793206,0.7999999999999998,2708
6,2,monthly,0,0.47942547882226244,0.05898200795302744,0.14002679334263587,-0.3680032461890653,0.16027578170526474,0.6674609371635208,7.444608567208272,0.7999999999999998,2708
6,2,monthly,5,0.45293416283552396,0.05505222406068433,0.1399985105245008,-0.3685150526697415,0.14938934966659675,0.6296987194458535,7.444608567208272,0.7999999999999998,2708
